franchise,band,pos,q_observed,q_league,q_shrunk,lift,n_picks,shrink_k,source,basis,confidence
Phil Baldino,rd1-3,K,0.0,0.0,0.0,1.0,26,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd1-3,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Richie,rd1-3,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Rob & GregBo,rd1-3,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Ronnie,rd1-3,K,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Team JoeBa,rd1-3,K,0.0,0.0,0.0,1.0,27,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Antdell & Ernie,rd1-3,DEF,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Cambrias,rd1-3,DEF,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Chris & Dom,rd1-3,DEF,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Frank & Julian,rd1-3,DEF,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
GaTTa,rd1-3,DEF,0.0,0.0,0.0,1.0,12,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
John Juliano,rd1-3,DEF,0.0,0.0,0.0,1.0,15,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
LFTLR,rd1-3,DEF,0.0,0.0,0.0,1.0,24,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Mike Long,rd1-3,DEF,0.0,0.0,0.0,1.0,12,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",thin
Nolan & Vinny,rd1-3,DEF,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Phil Baldino,rd1-3,DEF,0.0,0.0,0.0,1.0,26,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Pung & Tralie,rd1-3,DEF,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Richie,rd1-3,DEF,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
Rob & GregBo,rd1-3,DEF,0.0,0.0,0.0,1.0,39,50.0,out/picks.csv,"recency half-life 6 seasons, empirical-Bayes shrunk",verified
